Start,Finish,Label
2821.734,2822.315,r
2822.889,2823.231,r
2823.812,2824.155,r
2824.553,2824.882,r
2825.524,2825.905,r
2826.282,2826.692,r
2827.173,2827.635,r
2827.935,2828.42,r
2828.72,2829.128,r
2829.495,2829.915,r
2830.328,2830.702,r
2831.092,2831.473,r
2831.848,2832.214,r
2832.551,2833.001,r
2833.337,2833.719,r
2834.162,2834.544,r
2834.919,2835.331,r
2835.685,2836.095,r
2836.522,2836.866,r
2837.29,2837.646,r
2838.034,2838.371,r
2838.791,2839.15,r
2839.525,2839.967,r
2840.312,2840.701,r
2841.08,2841.488,r
2841.931,2842.359,r
2842.879,2843.245,r
2843.572,2844.009,r
2844.368,2844.731,r
2845.109,2845.498,r
2845.888,2846.277,r
2846.641,2847.011,r
2847.37,2847.847,r
2848.147,2848.538,r
2848.951,2849.356,r
2849.73,2850.181,r
2850.502,2850.954,r
2851.227,2851.594,r
2851.966,2852.427,r
2852.734,2853.152,r
2853.539,2853.954,r
2854.327,2854.779,r
2855.103,2855.526,r
2855.879,2856.385,r
2856.651,2857.092,r
2857.427,2857.886,r
2858.1,2858.614,r
2858.958,2859.414,r
2859.756,2860.219,r
2860.455,2860.963,r
2861.219,2861.657,r
2862.065,2862.479,r
2862.8,2863.197,r
2863.801,2864.183,r
2864.519,2864.987,r
2865.214,2865.718,r
2871.898,2872.356,r
2872.853,2873.25,r
2873.809,2874.174,r
2874.549,2875.013,r
2875.442,2875.824,r
2876.509,2876.897,r
2877.197,2877.612,r
2877.971,2878.346,r
2878.91,2879.326,r
2879.72,2880.064,r
2880.484,2880.912,r
2881.187,2881.611,r
2881.973,2882.333,r
2882.779,2883.168,r
2883.494,2883.952,r
2884.252,2884.655,r
2885.029,2885.38,r
2885.831,2886.203,r
2886.595,2886.99,r
2887.366,2887.749,r
2888.107,2888.472,r
2888.868,2889.238,r
2889.593,2890.002,r
2890.355,2890.742,r
2891.042,2891.445,r
2891.85,2892.252,r
2892.552,2892.943,r
2893.37,2893.779,r
2894.096,2894.509,r
2894.883,2895.334,r
2895.67,2896.075,r
2896.457,2896.831,r
2897.204,2897.577,r
2897.923,2898.313,r
2898.733,2899.187,r
2899.487,2899.886,r
2900.285,2900.673,r
2900.973,2901.452,r
2901.81,2902.231,r
2902.605,2903.049,r
2903.437,2903.858,r
2904.225,2904.624,r
2904.951,2905.356,r
2905.776,2906.227,r
2906.563,2907.013,r
2907.418,2907.815,r
2908.41,2908.807,r
2909.152,2909.662,r
2909.962,2910.351,r
2910.726,2911.085,r
2911.52,2911.917,r
2912.354,2912.75,r
2913.178,2913.54,r
2914.033,2914.446,r
2914.988,2915.424,r
2915.744,2916.203,r
2916.539,2916.979,r
2917.333,2917.761,r
2918.09,2918.617,r
2925.01,2925.461,r
2925.851,2926.286,r
2926.801,2927.233,r
2927.587,2927.921,r
2928.509,2928.868,r
2929.25,2929.639,r
2930.189,2930.538,r
2930.892,2931.324,r
2931.624,2931.972,r
2932.397,2932.768,r
2933.13,2933.544,r
2933.879,2934.251,r
2934.627,2935.037,r
2935.422,2935.852,r
2936.216,2936.589,r
2936.957,2937.346,r
2937.714,2938.081,r
2938.523,2938.901,r
2939.295,2939.707,r
2940.101,2940.456,r
2940.823,2941.196,r
2941.548,2941.943,r
2942.289,2942.67,r
2943.053,2943.473,r
2943.805,2944.271,r
2944.611,2945.037,r
2945.375,2945.813,r
2946.147,2946.55,r
2946.911,2947.365,r
2947.667,2948.122,r
2948.431,2948.868,r
2949.202,2949.605,r
2949.928,2950.34,r
2950.684,2951.188,r
2951.526,2951.899,r
2952.349,2952.739,r
2953.365,2953.819,r
2954.297,2954.684,r
2955.031,2955.413,r
2955.863,2956.177,r
2956.742,2957.13,r
2957.506,2957.866,r
2958.264,2958.642,r
2959.011,2959.34,r
2959.759,2960.126,r
2960.524,2960.892,r
2961.333,2961.737,r
2962.043,2962.434,r
2962.881,2963.181,r
2963.648,2964.029,r
2964.503,2964.86,r
2965.318,2965.664,r
2966.03,2966.403,r
2966.794,2967.24,r
2967.547,2967.894,r
2968.299,2968.721,r
2969.129,2969.476,r
2969.885,2970.224,r
2970.607,2970.965,r
2976.587,2976.969,r
2977.566,2977.924,r
2978.53,2978.917,r
2979.276,2979.595,r
2980.141,2980.552,r
2980.929,2981.314,r
2981.869,2982.286,r
2982.656,2983.012,r
2983.451,2983.791,r
2984.142,2984.566,r
2984.952,2985.332,r
2985.779,2986.118,r
2986.434,2986.831,r
2987.198,2987.605,r
2988.039,2988.377,r
2988.795,2989.161,r
2989.527,2989.886,r
2990.299,2990.728,r
2991.116,2991.451,r
2991.842,2992.277,r
2992.613,2993.072,r
2993.477,2993.835,r
2994.195,2994.563,r
2994.974,2995.352,r
2995.815,2996.173,r
2996.546,2997.012,r
2997.349,2997.731,r
2998.107,2998.436,r
2998.908,2999.281,r
2999.649,3000.028,r
3000.563,3000.951,r
3001.413,3001.832,r
3002.17,3002.552,r
3002.921,3003.279,r
3003.621,3004.016,r
3004.426,3004.759,r
3005.18,3005.515,r
3005.928,3006.394,r
3006.772,3007.14,r
3007.517,3007.899,r
3008.301,3008.693,r
3009.083,3009.428,r
3009.846,3010.259,r
3010.626,3011.0,r
3011.369,3011.71,r
3012.115,3012.503,r
3012.921,3013.276,r
3013.597,3013.964,r
3014.407,3014.802,r
3015.19,3015.538,r
3015.889,3016.294,r
3016.576,3017.065,r
3017.439,3017.886,r
3018.165,3018.685,r
3018.983,3019.456,r
3019.678,3020.204,r
3026.476,3026.919,r
3027.418,3027.821,r
3028.357,3028.752,r
3029.119,3029.471,r
3029.946,3030.334,r
3030.693,3031.139,r
3031.655,3032.037,r
3032.442,3032.867,r
3033.221,3033.639,r
3034.008,3034.487,r
3034.787,3035.283,r
3035.583,3036.009,r
3036.361,3036.735,r
3037.178,3037.522,r
3037.98,3038.397,r
3038.752,3039.157,r
3039.485,3039.882,r
3040.264,3040.696,r
3041.043,3041.482,r
3041.838,3042.245,r
3042.548,3043.014,r
3043.297,3043.724,r
3044.032,3044.557,r
3044.886,3045.293,r
3045.593,3046.016,r
3046.36,3046.765,r
3047.124,3047.544,r
3048.01,3048.353,r
3048.72,3049.075,r
3049.515,3049.889,r
3050.263,3050.676,r
3051.104,3051.511,r
3051.883,3052.295,r
3052.608,3053.003,r
3053.372,3053.777,r
3054.136,3054.572,r
3054.862,3055.29,r
3055.711,3056.107,r
3056.435,3056.848,r
3057.161,3057.558,r
3057.894,3058.337,r
3058.704,3059.155,r
3059.468,3059.972,r
3060.262,3060.69,r
3061.026,3061.454,r
3061.821,3062.213,r
3062.669,3063.104,r
3063.669,3064.104,r
3064.441,3064.851,r
3065.189,3065.594,r
3065.966,3066.366,r
3066.801,3067.221,r
3067.573,3067.962,r
3068.421,3068.8,r
3069.238,3069.635,r
3070.809,3071.14,r
3077.618,3077.975,r
3078.511,3078.901,r
3079.298,3079.675,r
3080.249,3080.612,r
3081.063,3081.407,r
3081.972,3082.3,r
3082.705,3083.112,r
3083.5,3083.82,r
3084.233,3084.635,r
3085.004,3085.362,r
3085.799,3086.158,r
3086.516,3086.904,r
3087.281,3087.655,r
3088.059,3088.427,r
3088.801,3089.173,r
3089.572,3089.939,r
3090.352,3090.666,r
3091.131,3091.49,r
3091.841,3092.193,r
3092.613,3093.002,r
3093.415,3093.743,r
3094.139,3094.553,r
3094.927,3095.309,r
3095.615,3095.943,r
3096.386,3096.747,r
3097.127,3097.493,r
3097.822,3098.25,r
3098.64,3099.036,r
3099.419,3099.871,r
3100.213,3100.598,r
3100.924,3101.321,r
3101.726,3102.101,r
3102.695,3103.122,r
3103.444,3103.903,r
3104.438,3104.819,r
3105.217,3105.66,r
3105.965,3106.472,r
3106.772,3107.203,r
3107.546,3107.983,r
3108.324,3108.776,r
3109.166,3109.547,r
3109.922,3110.323,r
3110.623,3111.05,r
3111.404,3111.878,r
3112.204,3112.573,r
3112.947,3113.338,r
3113.703,3114.101,r
3114.483,3114.91,r
3115.21,3115.636,r
3115.898,3116.423,r
3116.723,3117.202,r
3117.538,3117.981,r
3118.344,3118.783,r
3119.149,3119.562,r
3120.0,3120.263,r
3120.757,3120.97,r
3126.457,3126.743,r
3127.686,3128.07,r
3128.611,3128.99,r
3129.312,3129.763,r
3130.37,3130.643,r
3131.023,3131.39,r
3132.008,3132.41,r
3132.763,3133.123,r
3133.557,3133.85,r
3134.279,3134.637,r
3135.034,3135.397,r
3135.713,3136.09,r
3136.537,3136.857,r
3137.195,3137.643,r
3137.959,3138.343,r
3138.667,3139.043,r
3139.517,3139.843,r
3140.189,3140.603,r
3141.203,3141.397,r
3141.917,3142.203,r
3142.783,3142.977,r
3143.443,3143.697,r
3144.197,3144.483,r
3144.943,3145.277,r
3145.659,3146.03,r
3146.339,3146.73,r
3147.169,3147.57,r
3148.006,3148.346,r
3148.726,3149.03,r
3149.646,3149.953,r
3150.385,3150.705,r
3151.133,3151.4,r
3151.812,3152.132,r
3152.577,3152.95,r
3153.377,3153.699,r
3154.027,3154.443,r
3154.933,3155.253,r
3155.697,3156.037,r
3156.436,3156.797,r
3157.178,3157.53,r
3157.98,3158.377,r
3158.742,3159.097,r
3159.497,3159.803,r
3160.33,3160.61,r
3161.088,3161.423,r
3161.859,3162.192,r
3162.567,3162.94,r
3163.378,3163.703,r
3164.155,3164.523,r
3164.901,3165.257,r
