Start,Finish,Label
2821.68,2822.09,r
2822.94,2823.20,r
2823.94,2824.16,r
2824.63,2824.84,r
2825.50,2825.82,r
2826.35,2826.63,r
2827.35,2827.58,r
2828.06,2828.31,r
2828.81,2829.06,r
2829.71,2829.90,r
2830.37,2830.67,r
2831.15,2831.45,r
2831.93,2832.16,r
2832.68,2832.95,r
2833.43,2833.69,r
2834.29,2834.52,r
2835.02,2835.29,r
2835.74,2836.04,r
2836.58,2836.79,r
2837.37,2837.59,r
2838.08,2838.34,r
2838.85,2839.08,r
2839.60,2839.89,r
2840.41,2840.66,r
2841.16,2841.42,r
2841.96,2842.39,r
2843.06,2843.24,r
2843.69,2843.93,r
2844.39,2844.68,r
2845.19,2845.45,r
2845.96,2846.19,r
2846.71,2846.97,r
2847.48,2847.76,r
2848.27,2848.47,r
2849.00,2849.26,r
2849.83,2850.11,r
2850.59,2850.84,r
2851.30,2851.57,r
2852.10,2852.37,r
2852.88,2853.12,r
2853.61,2853.89,r
2854.42,2854.68,r
2855.19,2855.49,r
2855.97,2856.37,r
2856.81,2857.02,r
2857.50,2857.84,r
2858.14,2858.66,r
2859.01,2859.33,r
2859.79,2860.12,r
2860.40,2860.87,r
2861.38,2861.64,r
2862.14,2862.47,r
2862.90,2863.25,r
2863.88,2864.10,r
2864.64,2864.93,r
2865.16,2865.66,r
2871.85,2872.24,r
2872.80,2873.18,r
2873.94,2874.16,r
2874.65,2874.87,r
2875.54,2875.81,r
2876.58,2876.81,r
2877.29,2877.52,r
2878.06,2878.30,r
2879.00,2879.26,r
2879.79,2880.03,r
2880.59,2880.81,r
2881.34,2881.58,r
2882.07,2882.29,r
2882.82,2883.09,r
2883.55,2883.82,r
2884.32,2884.59,r
2885.12,2885.34,r
2885.87,2886.12,r
2886.69,2886.92,r
2887.48,2887.70,r
2888.19,2888.43,r
2888.92,2889.15,r
2889.75,2889.94,r
2890.43,2890.66,r
2891.16,2891.39,r
2891.92,2892.13,r
2892.64,2892.89,r
2893.46,2893.67,r
2894.32,2894.49,r
2895.05,2895.29,r
2895.81,2896.02,r
2896.51,2896.79,r
2897.25,2897.50,r
2898.01,2898.27,r
2898.85,2899.07,r
2899.61,2899.86,r
2900.36,2900.60,r
2901.12,2901.43,r
2901.93,2902.23,r
2902.77,2903.04,r
2903.47,2903.78,r
2904.29,2904.58,r
2905.10,2905.32,r
2906.12,2906.28,r
2906.67,2906.90,r
2907.53,2907.74,r
2908.53,2908.86,r
2909.27,2909.61,r
2909.96,2910.29,r
2910.79,2911.04,r
2911.47,2911.97,r
2912.41,2912.67,r
2913.26,2913.50,r
2913.98,2914.40,r
2915.04,2915.34,r
2915.82,2916.25,r
2916.58,2916.92,r
2917.35,2917.67,r
2918.04,2918.49,r
2924.96,2925.28,r
2925.80,2926.34,r
2926.91,2927.13,r
2927.65,2927.88,r
2928.58,2928.81,r
2929.35,2929.57,r
2930.27,2930.51,r
2930.98,2931.23,r
2931.71,2931.93,r
2932.43,2932.71,r
2933.22,2933.45,r
2933.90,2934.22,r
2934.73,2935.00,r
2935.52,2935.81,r
2936.27,2936.54,r
2937.05,2937.28,r
2937.80,2938.04,r
2938.61,2938.83,r
2939.36,2939.66,r
2940.17,2940.41,r
2940.91,2941.13,r
2941.62,2941.85,r
2942.36,2942.61,r
2943.19,2943.43,r
2943.94,2944.21,r
2944.68,2944.99,r
2945.42,2945.76,r
2946.21,2946.49,r
2947.06,2947.27,r
2947.79,2948.05,r
2948.54,2948.79,r
2949.33,2949.59,r
2950.09,2950.30,r
2950.88,2951.11,r
2951.67,2951.87,r
2952.43,2952.69,r
2953.54,2953.79,r
2954.38,2954.61,r
2955.13,2955.37,r
2955.88,2956.16,r
2956.79,2957.06,r
2957.58,2957.81,r
2958.33,2958.55,r
2959.11,2959.33,r
2959.86,2960.07,r
2960.58,2960.86,r
2961.41,2961.69,r
2962.14,2962.41,r
2962.94,2963.23,r
2963.69,2963.99,r
2964.59,2964.82,r
2965.37,2965.62,r
2966.16,2966.41,r
2966.89,2967.13,r
2967.63,2967.94,r
2968.39,2968.66,r
2969.19,2969.52,r
2969.94,2970.27,r
2970.63,2970.95,r
2976.59,2976.82,r
2977.68,2977.90,r
2978.62,2978.82,r
2979.29,2979.56,r
2980.26,2980.49,r
2981.04,2981.25,r
2981.94,2982.21,r
2982.72,2982.97,r
2983.53,2983.76,r
2984.27,2984.51,r
2985.05,2985.28,r
2985.80,2986.06,r
2986.43,2986.79,r
2987.24,2987.59,r
2988.09,2988.35,r
2988.89,2989.12,r
2989.59,2989.86,r
2990.38,2990.78,r
2991.22,2991.41,r
2991.96,2992.21,r
2992.79,2993.05,r
2993.50,2993.79,r
2994.30,2994.52,r
2995.06,2995.29,r
2995.84,2996.12,r
2996.66,2996.91,r
2997.39,2997.70,r
2998.17,2998.43,r
2998.96,2999.21,r
2999.74,2999.98,r
3000.51,3001.00,r
3001.56,3001.79,r
3002.27,3002.52,r
3002.96,3003.24,r
3003.74,3003.97,r
3004.48,3004.76,r
3005.31,3005.50,r
3005.98,3006.27,r
3006.82,3007.14,r
3007.67,3007.92,r
3008.45,3008.67,r
3009.21,3009.40,r
3009.94,3010.16,r
3010.69,3010.94,r
3011.47,3011.70,r
3012.18,3012.44,r
3012.94,3013.21,r
3013.68,3013.94,r
3014.48,3014.85,r
3015.19,3015.48,r
3015.98,3016.34,r
3016.82,3017.07,r
3017.51,3017.85,r
3018.27,3018.63,r
3019.08,3019.51,r
3019.81,3020.09,r
3026.43,3026.80,r
3027.52,3027.75,r
3028.47,3028.70,r
3029.19,3029.41,r
3030.08,3030.31,r
3030.83,3031.03,r
3031.75,3032.00,r
3032.54,3032.78,r
3033.39,3033.60,r
3034.14,3034.37,r
3034.89,3035.31,r
3035.68,3035.97,r
3036.38,3036.72,r
3037.30,3037.52,r
3038.09,3038.31,r
3038.83,3039.10,r
3039.60,3039.83,r
3040.36,3040.61,r
3041.04,3041.39,r
3041.92,3042.29,r
3042.71,3042.93,r
3043.41,3043.65,r
3044.18,3044.45,r
3045.00,3045.21,r
3045.71,3045.95,r
3046.44,3046.71,r
3047.25,3047.51,r
3048.07,3048.33,r
3048.80,3049.02,r
3049.55,3049.81,r
3050.40,3050.61,r
3051.12,3051.40,r
3051.95,3052.22,r
3052.68,3052.91,r
3053.52,3053.71,r
3054.30,3054.53,r
3055.01,3055.34,r
3055.79,3056.04,r
3056.59,3056.81,r
3057.24,3057.49,r
3058.05,3058.27,r
3058.78,3059.13,r
3059.54,3059.96,r
3060.35,3060.62,r
3061.14,3061.50,r
3061.94,3062.18,r
3062.72,3062.99,r
3063.73,3064.01,r
3064.52,3064.79,r
3065.27,3065.53,r
3066.10,3066.38,r
3066.85,3067.14,r
3067.54,3067.96,r
3068.54,3068.79,r
3069.29,3069.61,r
3070.90,3071.13,r
3077.57,3077.86,r
3078.63,3078.83,r
3079.44,3079.70,r
3080.32,3080.66,r
3081.10,3081.34,r
3082.01,3082.35,r
3082.76,3083.16,r
3083.53,3083.80,r
3084.26,3084.56,r
3085.02,3085.29,r
3085.82,3086.07,r
3086.57,3086.87,r
3087.33,3087.61,r
3088.20,3088.42,r
3088.79,3089.16,r
3089.66,3089.90,r
3090.40,3090.62,r
3091.19,3091.43,r
3091.93,3092.18,r
3092.67,3092.94,r
3093.51,3093.74,r
3094.28,3094.49,r
3095.00,3095.26,r
3095.73,3095.90,r
3096.54,3096.71,r
3097.17,3097.45,r
3097.93,3098.18,r
3098.73,3098.98,r
3099.51,3099.75,r
3100.25,3100.55,r
3101.00,3101.26,r
3101.81,3102.06,r
3102.78,3103.03,r
3103.60,3103.85,r
3104.50,3104.80,r
3105.27,3105.60,r
3106.09,3106.40,r
3106.85,3107.25,r
3107.67,3107.93,r
3108.50,3108.71,r
3109.26,3109.51,r
3110.01,3110.28,r
3110.73,3110.97,r
3111.48,3111.74,r
3112.30,3112.51,r
3113.06,3113.31,r
3113.81,3114.06,r
3114.59,3114.82,r
3115.16,3115.60,r
3116.06,3116.36,r
3116.88,3117.14,r
3117.62,3117.94,r
3118.46,3118.73,r
3119.22,3119.59,r
3119.97,3120.23,r
3120.73,3120.94,r
3126.46,3126.68,r
3127.73,3128.00,r
3128.76,3128.96,r
3129.47,3129.71,r
3130.37,3130.59,r
3131.10,3131.36,r
3132.09,3132.36,r
3132.82,3133.06,r
3133.59,3133.81,r
3134.39,3134.61,r
3135.04,3135.34,r
3135.83,3136.06,r
3136.55,3136.81,r
3137.29,3137.59,r
3138.03,3138.29,r
3138.75,3139.01,r
3139.51,3139.80,r
3140.27,3140.65,r
3141.15,3141.36,r
3141.93,3142.14,r
3142.73,3142.92,r
3143.44,3143.68,r
3144.18,3144.43,r
3144.95,3145.23,r
3145.72,3146.00,r
3146.48,3146.70,r
3147.27,3147.51,r
3148.07,3148.33,r
3148.75,3149.01,r
3149.72,3149.94,r
3150.38,3150.68,r
3151.18,3151.38,r
3151.86,3152.12,r
3152.63,3152.88,r
3153.41,3153.64,r
3154.17,3154.40,r
3154.96,3155.24,r
3155.75,3156.01,r
3156.53,3156.75,r
3157.13,3157.51,r
3158.06,3158.34,r
3158.80,3159.03,r
3159.57,3159.77,r
3160.33,3160.56,r
3161.17,3161.39,r
3161.87,3162.17,r
3162.61,3162.94,r
3163.41,3163.66,r
3164.20,3164.47,r
3164.99,3165.21,r
3165.77,3165.99,r
3166.52,3166.75,r
3167.27,3167.54,r
3167.98,3168.37,r
3168.78,3169.08,r
3169.57,3169.77,r
3170.33,3170.54,r
3171.36,3171.63,r
3172.17,3172.46,r
3172.86,3173.10,r
3173.80,3174.14,r
3179.20,3179.56,r
3180.03,3180.51,r
3181.01,3181.23,r
3181.92,3182.13,r
3182.47,3182.95,r
3183.82,3184.06,r
3184.62,3184.86,r
3185.62,3185.84,r
3186.32,3186.60,r
3187.02,3187.29,r
3187.81,3188.07,r
3188.56,3188.82,r
3189.36,3189.60,r
3190.10,3190.38,r
3190.86,3191.08,r
3191.54,3191.79,r
3192.25,3192.53,r
3192.98,3193.24,r
3193.71,3194.02,r
3194.51,3194.73,r
3195.25,3195.51,r
3196.05,3196.26,r
3196.62,3197.06,r
3197.53,3197.77,r
3198.35,3198.58,r
3199.11,3199.37,r
3199.83,3200.08,r
3200.56,3200.88,r
3201.32,3201.58,r
3202.10,3202.34,r
3202.85,3203.05,r
3203.57,3203.84,r
3204.10,3204.58,r
3205.13,3205.34,r
3205.85,3206.07,r
3206.62,3206.83,r
3207.31,3207.72,r
3207.98,3208.44,r
3208.89,3209.12,r
3209.59,3209.80,r
3210.32,3210.63,r
3210.95,3211.38,r
3211.75,3211.96,r
3212.47,3212.69,r
3213.24,3213.44,r
3213.96,3214.21,r
3214.94,3215.20,r
3215.88,3216.12,r
3216.34,3217.11,r
3217.11,3217.55,r
3218.00,3218.54,r
3218.69,3218.97,r
3219.52,3219.81,r
