Start,Finish,Label
1.73,2.32,r
2.89,3.23,r
3.81,4.16,r
4.55,4.88,r
5.52,5.91,r
6.28,6.69,r
7.17,7.64,r
7.93,8.42,r
8.72,9.13,r
9.49,9.91,r
10.33,10.7,r
11.09,11.47,r
11.85,12.21,r
12.55,13.0,r
13.34,13.72,r
14.16,14.54,r
14.92,15.33,r
15.68,16.09,r
16.52,16.87,r
17.29,17.65,r
18.03,18.37,r
18.79,19.15,r
19.53,19.97,r
20.31,20.7,r
21.08,21.49,r
21.93,22.36,r
22.88,23.24,r
23.57,24.01,r
24.37,24.73,r
25.11,25.5,r
25.89,26.28,r
26.64,27.01,r
27.37,27.85,r
28.15,28.54,r
28.95,29.36,r
29.73,30.18,r
30.5,30.95,r
31.23,31.59,r
31.97,32.43,r
32.73,33.15,r
33.54,33.95,r
34.33,34.78,r
35.1,35.53,r
35.88,36.39,r
36.65,37.09,r
37.43,37.89,r
38.1,38.61,r
38.96,39.41,r
39.76,40.22,r
40.45,40.96,r
41.22,41.66,r
42.07,42.48,r
42.8,43.2,r
43.8,44.18,r
44.52,44.99,r
45.21,45.72,r
51.9,52.36,r
52.85,53.25,r
53.81,54.17,r
54.55,55.01,r
55.44,55.82,r
56.51,56.9,r
57.2,57.61,r
57.97,58.35,r
58.91,59.33,r
59.72,60.06,r
60.48,60.91,r
61.19,61.61,r
61.97,62.33,r
62.78,63.17,r
63.49,63.95,r
64.25,64.66,r
65.03,65.38,r
65.83,66.2,r
66.59,66.99,r
67.37,67.75,r
68.11,68.47,r
68.87,69.24,r
69.59,70.0,r
70.36,70.74,r
71.04,71.45,r
71.85,72.25,r
72.55,72.94,r
73.37,73.78,r
74.1,74.51,r
74.88,75.33,r
75.67,76.07,r
76.46,76.83,r
77.2,77.58,r
77.92,78.31,r
78.73,79.19,r
79.49,79.89,r
80.28,80.67,r
80.97,81.45,r
81.81,82.23,r
82.61,83.05,r
83.44,83.86,r
84.22,84.62,r
84.95,85.36,r
85.78,86.23,r
86.56,87.01,r
87.42,87.82,r
88.41,88.81,r
89.15,89.66,r
89.96,90.35,r
90.73,91.09,r
91.52,91.92,r
92.35,92.75,r
93.18,93.54,r
94.03,94.45,r
94.99,95.42,r
95.74,96.2,r
96.54,96.98,r
97.33,97.76,r
98.09,98.62,r
105.01,105.46,r
105.85,106.29,r
106.8,107.23,r
107.59,107.92,r
108.51,108.87,r
109.25,109.64,r
110.19,110.54,r
110.89,111.32,r
111.62,111.97,r
112.4,112.77,r
113.13,113.54,r
113.88,114.25,r
114.63,115.04,r
115.42,115.85,r
116.22,116.59,r
116.96,117.35,r
117.71,118.08,r
118.52,118.9,r
119.3,119.71,r
120.1,120.46,r
120.82,121.2,r
121.55,121.94,r
122.29,122.67,r
123.05,123.47,r
123.8,124.27,r
124.61,125.04,r
125.38,125.81,r
126.15,126.55,r
126.91,127.36,r
127.67,128.12,r
128.43,128.87,r
129.2,129.61,r
129.93,130.34,r
130.68,131.19,r
131.53,131.9,r
132.35,132.74,r
133.36,133.82,r
134.3,134.68,r
135.03,135.41,r
135.86,136.18,r
136.74,137.13,r
137.51,137.87,r
138.26,138.64,r
139.01,139.34,r
139.76,140.13,r
140.52,140.89,r
141.33,141.74,r
142.04,142.43,r
142.88,143.18,r
143.65,144.03,r
144.5,144.86,r
145.32,145.66,r
146.03,146.4,r
146.79,147.24,r
147.55,147.89,r
148.3,148.72,r
149.13,149.48,r
149.89,150.22,r
150.61,150.97,r
156.59,156.97,r
157.57,157.92,r
158.53,158.92,r
159.28,159.59,r
160.14,160.55,r
160.93,161.31,r
161.87,162.29,r
162.66,163.01,r
163.45,163.79,r
164.14,164.57,r
164.95,165.33,r
165.78,166.12,r
166.43,166.83,r
167.2,167.61,r
168.04,168.38,r
168.8,169.16,r
169.53,169.89,r
170.3,170.73,r
171.12,171.45,r
171.84,172.28,r
172.61,173.07,r
173.48,173.84,r
174.2,174.56,r
174.97,175.35,r
175.82,176.17,r
176.55,177.01,r
177.35,177.73,r
178.11,178.44,r
178.91,179.28,r
179.65,180.03,r
180.56,180.95,r
181.41,181.83,r
182.17,182.55,r
182.92,183.28,r
183.62,184.02,r
184.43,184.76,r
185.18,185.51,r
185.93,186.39,r
186.77,187.14,r
187.52,187.9,r
188.3,188.69,r
189.08,189.43,r
189.85,190.26,r
190.63,191.0,r
191.37,191.71,r
192.11,192.5,r
192.92,193.28,r
193.6,193.96,r
194.41,194.8,r
195.19,195.54,r
195.89,196.29,r
196.58,197.07,r
197.44,197.89,r
198.16,198.68,r
198.98,199.46,r
199.68,200.2,r
206.48,206.92,r
207.42,207.82,r
208.36,208.75,r
209.12,209.47,r
209.95,210.33,r
210.69,211.14,r
211.66,212.04,r
212.44,212.87,r
213.22,213.64,r
214.01,214.49,r
214.79,215.28,r
215.58,216.01,r
216.36,216.74,r
217.18,217.52,r
217.98,218.4,r
218.75,219.16,r
219.49,219.88,r
220.26,220.7,r
221.04,221.48,r
221.84,222.24,r
222.55,223.01,r
223.3,223.72,r
224.03,224.56,r
224.89,225.29,r
225.59,226.02,r
226.36,226.76,r
227.12,227.54,r
228.01,228.35,r
228.72,229.07,r
229.51,229.89,r
230.26,230.68,r
231.1,231.51,r
231.88,232.3,r
232.61,233.0,r
233.37,233.78,r
234.14,234.57,r
234.86,235.29,r
235.71,236.11,r
236.43,236.85,r
237.16,237.56,r
237.89,238.34,r
238.7,239.16,r
239.47,239.97,r
240.26,240.69,r
241.03,241.45,r
241.82,242.21,r
242.67,243.1,r
243.67,244.1,r
244.44,244.85,r
245.19,245.59,r
245.97,246.37,r
246.8,247.22,r
247.57,247.96,r
248.42,248.8,r
249.24,249.64,r
250.81,251.14,r
257.62,257.97,r
258.51,258.9,r
259.3,259.68,r
260.25,260.61,r
261.06,261.41,r
261.97,262.3,r
262.7,263.11,r
263.5,263.82,r
264.23,264.64,r
265.0,265.36,r
265.8,266.16,r
266.52,266.9,r
267.28,267.66,r
268.06,268.43,r
268.8,269.17,r
269.57,269.94,r
270.35,270.67,r
271.13,271.49,r
271.84,272.19,r
272.61,273.0,r
273.41,273.74,r
274.14,274.55,r
274.93,275.31,r
275.61,275.94,r
276.39,276.75,r
277.13,277.49,r
277.82,278.25,r
278.64,279.04,r
279.42,279.87,r
280.21,280.6,r
280.92,281.32,r
281.73,282.1,r
282.7,283.12,r
283.44,283.9,r
284.44,284.82,r
285.22,285.66,r
285.97,286.47,r
286.77,287.2,r
287.55,287.98,r
288.32,288.78,r
289.17,289.55,r
289.92,290.32,r
290.62,291.05,r
291.4,291.88,r
292.2,292.57,r
292.95,293.34,r
293.7,294.1,r
294.48,294.91,r
295.21,295.64,r
295.9,296.42,r
296.72,297.2,r
297.54,297.98,r
298.34,298.78,r
299.15,299.56,r
300.0,300.26,r
300.76,300.97,r
306.46,306.74,r
307.69,308.07,r
308.61,308.99,r
309.31,309.76,r
310.37,310.64,r
311.02,311.39,r
312.01,312.41,r
312.76,313.12,r
313.56,313.85,r
314.28,314.64,r
315.03,315.4,r
315.71,316.09,r
316.54,316.86,r
317.2,317.64,r
317.96,318.34,r
318.67,319.04,r
319.52,319.84,r
320.19,320.6,r
321.2,321.4,r
321.92,322.2,r
322.78,322.98,r
323.44,323.7,r
324.2,324.48,r
324.94,325.28,r
325.66,326.03,r
326.34,326.73,r
327.17,327.57,r
328.01,328.35,r
328.73,329.03,r
329.65,329.95,r
330.39,330.7,r
331.13,331.4,r
331.81,332.13,r
332.58,332.95,r
333.38,333.7,r
334.03,334.44,r
334.93,335.25,r
335.7,336.04,r
336.44,336.8,r
337.18,337.53,r
337.98,338.38,r
338.74,339.1,r
339.5,339.8,r
340.33,340.61,r
341.09,341.42,r
341.86,342.19,r
