Start,Finish,Label
1.68,2.09,r
2.94,3.20,r
3.94,4.16,r
4.63,4.84,r
5.50,5.82,r
6.35,6.63,r
7.35,7.58,r
8.06,8.31,r
8.81,9.06,r
9.71,9.90,r
10.37,10.67,r
11.15,11.45,r
11.93,12.16,r
12.68,12.95,r
13.43,13.69,r
14.29,14.52,r
15.02,15.29,r
15.74,16.04,r
16.58,16.79,r
17.37,17.59,r
18.08,18.34,r
18.85,19.08,r
19.60,19.89,r
20.41,20.66,r
21.16,21.42,r
21.96,22.39,r
23.06,23.24,r
23.69,23.93,r
24.39,24.68,r
25.19,25.45,r
25.96,26.19,r
26.71,26.97,r
27.48,27.76,r
28.27,28.47,r
29.00,29.26,r
29.83,30.11,r
30.59,30.84,r
31.30,31.57,r
32.10,32.37,r
32.88,33.12,r
33.61,33.89,r
34.42,34.68,r
35.19,35.49,r
35.97,36.37,r
36.81,37.02,r
37.50,37.84,r
38.14,38.66,r
39.01,39.33,r
39.79,40.12,r
40.40,40.87,r
41.38,41.64,r
42.14,42.47,r
42.90,43.25,r
43.88,44.10,r
44.64,44.93,r
45.16,45.66,r
51.85,52.24,r
52.80,53.18,r
53.94,54.16,r
54.65,54.87,r
55.54,55.81,r
56.58,56.81,r
57.29,57.52,r
58.06,58.30,r
59.00,59.26,r
59.79,60.03,r
60.59,60.81,r
61.34,61.58,r
62.07,62.29,r
62.82,63.09,r
63.55,63.82,r
64.32,64.59,r
65.12,65.34,r
65.87,66.12,r
66.69,66.92,r
67.48,67.70,r
68.19,68.43,r
68.92,69.15,r
69.75,69.94,r
70.43,70.66,r
71.16,71.39,r
71.92,72.13,r
72.64,72.89,r
73.46,73.67,r
74.32,74.49,r
75.05,75.29,r
75.81,76.02,r
76.51,76.79,r
77.25,77.50,r
78.01,78.27,r
78.85,79.07,r
79.61,79.86,r
80.36,80.60,r
81.12,81.43,r
81.93,82.23,r
82.77,83.04,r
83.47,83.78,r
84.29,84.58,r
85.10,85.32,r
86.12,86.28,r
86.67,86.90,r
87.53,87.74,r
88.53,88.86,r
89.27,89.61,r
89.96,90.29,r
90.79,91.04,r
91.47,91.97,r
92.41,92.67,r
93.26,93.50,r
93.98,94.40,r
95.04,95.34,r
95.82,96.25,r
96.58,96.92,r
97.35,97.67,r
98.04,98.49,r
104.96,105.28,r
105.80,106.34,r
106.91,107.13,r
107.65,107.88,r
108.58,108.81,r
109.35,109.57,r
110.27,110.51,r
110.98,111.23,r
111.71,111.93,r
112.43,112.71,r
113.22,113.45,r
113.90,114.22,r
114.73,115.00,r
115.52,115.81,r
116.27,116.54,r
117.05,117.28,r
117.80,118.04,r
118.61,118.83,r
119.36,119.66,r
120.17,120.41,r
120.91,121.13,r
121.62,121.85,r
122.36,122.61,r
123.19,123.43,r
123.94,124.21,r
124.68,124.99,r
125.42,125.76,r
126.21,126.49,r
127.06,127.27,r
127.79,128.05,r
128.54,128.79,r
129.33,129.59,r
130.09,130.30,r
130.88,131.11,r
131.67,131.87,r
132.43,132.69,r
133.54,133.79,r
134.38,134.61,r
135.13,135.37,r
135.88,136.16,r
136.79,137.06,r
137.58,137.81,r
138.33,138.55,r
139.11,139.33,r
139.86,140.07,r
140.58,140.86,r
141.41,141.69,r
142.14,142.41,r
142.94,143.23,r
143.69,143.99,r
144.59,144.82,r
145.37,145.62,r
146.16,146.41,r
146.89,147.13,r
147.63,147.94,r
148.39,148.66,r
149.19,149.52,r
149.94,150.27,r
150.63,150.95,r
156.59,156.82,r
157.68,157.90,r
158.62,158.82,r
159.29,159.56,r
160.26,160.49,r
161.04,161.25,r
161.94,162.21,r
162.72,162.97,r
163.53,163.76,r
164.27,164.51,r
165.05,165.28,r
165.80,166.06,r
166.43,166.79,r
167.24,167.59,r
168.09,168.35,r
168.89,169.12,r
169.59,169.86,r
170.38,170.78,r
171.22,171.41,r
171.96,172.21,r
172.79,173.05,r
173.50,173.79,r
174.30,174.52,r
175.06,175.29,r
175.84,176.12,r
176.66,176.91,r
177.39,177.70,r
178.17,178.43,r
178.96,179.21,r
179.74,179.98,r
180.51,181.00,r
181.56,181.79,r
182.27,182.52,r
182.96,183.24,r
183.74,183.97,r
184.48,184.76,r
185.31,185.50,r
185.98,186.27,r
186.82,187.14,r
187.67,187.92,r
188.45,188.67,r
189.21,189.40,r
189.94,190.16,r
190.69,190.94,r
191.47,191.70,r
192.18,192.44,r
192.94,193.21,r
193.68,193.94,r
194.48,194.85,r
195.19,195.48,r
195.98,196.34,r
196.82,197.07,r
197.51,197.85,r
198.27,198.63,r
199.08,199.51,r
199.81,200.09,r
206.43,206.80,r
207.52,207.75,r
208.47,208.70,r
209.19,209.41,r
210.08,210.31,r
210.83,211.03,r
211.75,212.00,r
212.54,212.78,r
213.39,213.60,r
214.14,214.37,r
214.89,215.31,r
215.68,215.97,r
216.38,216.72,r
217.30,217.52,r
218.09,218.31,r
218.83,219.10,r
219.60,219.83,r
220.36,220.61,r
221.04,221.39,r
221.92,222.29,r
222.71,222.93,r
223.41,223.65,r
224.18,224.45,r
225.00,225.21,r
225.71,225.95,r
226.44,226.71,r
227.25,227.51,r
228.07,228.33,r
228.80,229.02,r
229.55,229.81,r
230.40,230.61,r
231.12,231.40,r
231.95,232.22,r
232.68,232.91,r
233.52,233.71,r
234.30,234.53,r
235.01,235.34,r
235.79,236.04,r
236.59,236.81,r
237.24,237.49,r
238.05,238.27,r
238.78,239.13,r
239.54,239.96,r
240.35,240.62,r
241.14,241.50,r
241.94,242.18,r
242.72,242.99,r
243.73,244.01,r
244.52,244.79,r
245.27,245.53,r
246.10,246.38,r
246.85,247.14,r
247.54,247.96,r
248.54,248.79,r
249.29,249.61,r
250.90,251.13,r
257.57,257.86,r
258.63,258.83,r
259.44,259.70,r
260.32,260.66,r
261.10,261.34,r
262.01,262.35,r
262.76,263.16,r
263.53,263.80,r
264.26,264.56,r
265.02,265.29,r
265.82,266.07,r
266.57,266.87,r
267.33,267.61,r
268.20,268.42,r
268.79,269.16,r
269.66,269.90,r
270.40,270.62,r
271.19,271.43,r
271.93,272.18,r
272.67,272.94,r
273.51,273.74,r
274.28,274.49,r
275.00,275.26,r
275.73,275.90,r
276.54,276.71,r
277.17,277.45,r
277.93,278.18,r
278.73,278.98,r
279.51,279.75,r
280.25,280.55,r
281.00,281.26,r
281.81,282.06,r
282.78,283.03,r
283.60,283.85,r
284.50,284.80,r
285.27,285.60,r
286.09,286.40,r
286.85,287.25,r
287.67,287.93,r
288.50,288.71,r
289.26,289.51,r
290.01,290.28,r
290.73,290.97,r
291.48,291.74,r
292.30,292.51,r
293.06,293.31,r
293.81,294.06,r
294.59,294.82,r
295.16,295.60,r
296.06,296.36,r
296.88,297.14,r
297.62,297.94,r
298.46,298.73,r
299.22,299.59,r
